"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"438","C12orf57",1.2097450482685e-19,-0.459723737764412,0.611,0.765,1.97127955615352e-15
"439","SGMS1",1.225543341769e-19,-0.44267251045691,0.1,0.26,1.99702287541258e-15
"440","STAT4",1.41281958221204e-19,0.521752903587128,0.426,0.214,2.30218950921452e-15
"441","IRF2",1.63201523053506e-19,-0.487751516211886,0.17,0.35,2.65936881815687e-15
"442","EIF3E",2.1594537869097e-19,0.472630582709775,0.753,0.619,3.51882994576936e-15
"443","PBX4",2.52715179058943e-19,0.54277853535347,0.238,0.076,4.11799384276548e-15
"444","NFKBID",3.25818697933315e-19,0.920377180500266,0.626,0.441,5.30921568282337e-15
"445","NHP2",4.13426044270017e-19,0.555288798816827,0.655,0.492,6.73677739137992e-15
"446","SRM",4.15587903294772e-19,0.49286471871516,0.293,0.114,6.77200488418831e-15
"447","CD2BP2",4.4389328514034e-19,-0.521319839623736,0.321,0.51,7.23324108136185e-15
"448","SVIL",4.74225032508318e-19,0.329558253061707,0.111,0.003,7.72749690472304e-15
"449","HDAC7",5.43016497589321e-19,-0.427301187686698,0.082,0.229,8.84845382821799e-15
"450","TNF",5.95873161643887e-19,1.63929153242243,0.428,0.246,9.70975316898714e-15
"451","CD44",6.38429307319143e-19,0.459676955829114,0.969,0.935,1.04032055627654e-14
"452","TOMM40",6.68012073428525e-19,0.51306060133851,0.57,0.373,1.08852567365178e-14
"453","SRSF7",6.95315972561098e-19,0.498480983969698,0.881,0.789,1.13301737728831e-14
"454","S100A6",8.13050568165715e-19,-0.367073819965953,0.866,0.954,1.32486590082603e-14
"455","DDIT4",8.34843298546475e-19,0.992115792929502,0.456,0.277,1.36037715498148e-14
"456","SLC1A5",9.53724369441826e-19,-0.435089530809012,0.714,0.836,1.55409386000546e-14
"457","C3orf14",1.00441382353604e-18,-0.370949054786761,0.036,0.154,1.63669232545198e-14
"458","ARID3B",1.11648530768096e-18,-0.393249607145795,0.052,0.184,1.81931280886612e-14
"459","ANTXR2",1.1408777678218e-18,0.443826147390296,0.124,0.01,1.85906032266562e-14
"460","ACAP1",1.29417274608185e-18,-0.481003688779298,0.2,0.378,2.10885448974038e-14
"461","CNIH1",1.47759395302098e-18,0.621887351270308,0.499,0.305,2.40773934644769e-14
"462","RSL1D1",1.9834049254059e-18,0.479730808394676,0.703,0.54,3.23195832594892e-14
"463","UTP4",2.03682679476711e-18,0.460474788480501,0.436,0.234,3.31900926207301e-14
"464","CD2",2.13457195675905e-18,-0.409471626470473,0.843,0.921,3.47828500353887e-14
"465","MT-ATP6",2.20547936532304e-18,0.35619000637819,0.991,0.996,3.59382862579389e-14
"466","MAML2",2.22286471361316e-18,0.434878357517382,0.244,0.079,3.62215805083264e-14
"467","XIST",2.35031093264022e-18,-0.444606327388285,0.087,0.232,3.82983166473724e-14
"468","BST2",2.40744952042443e-18,-0.65792771999049,0.361,0.531,3.9229389935316e-14
"469","TNFRSF9",2.51828984750846e-18,-0.289189051023892,0.699,0.908,4.10355330651503e-14
